MODL,NCHR,REPL,MTHD,DOLLO
Palaeognathae,500,Rep12,paup-dollo-fast-hsearch-first,638
Palaeognathae,500,Rep12,paup-dollo-hsearch-first,638
Palaeognathae,500,Rep13,dollo-cdp-fast,623
Palaeognathae,500,Rep13,paup-dollo-bnb-first,623
Palaeognathae,500,Rep13,paup-dollo-fast-hsearch-first,623
Palaeognathae,500,Rep13,paup-dollo-hsearch-first,623
Palaeognathae,500,Rep14,dollo-cdp-fast,608
Palaeognathae,500,Rep14,paup-dollo-bnb-first,608
Palaeognathae,500,Rep14,paup-dollo-fast-hsearch-first,608
Palaeognathae,500,Rep14,paup-dollo-hsearch-first,608
Palaeognathae,500,Rep15,dollo-cdp-fast,606
Palaeognathae,500,Rep15,paup-dollo-bnb-first,606
Palaeognathae,500,Rep15,paup-dollo-fast-hsearch-first,606
